Customer Name,Recency,Frequency,Monetary,Cluster
Abernathy Group ,1,353,24876667.0,0
Abernathy Group Pharmaceutical Limited,732,223,2079222.0,1
Abernathy Group Pharmacy,1,390,34635271.0,0
Abernathy and Sons ,1,376,20722227.0,0
Abernathy and Sons Pharmaceutical Limited,1,391,18857078.0,0
Armstrong Inc Pharm,1,361,24643385.0,0
Armstrong Inc Pharma Plc,1,422,12315560.0,0
"Armstrong, Medhurst and Bogisich Pharmaceutical Ltd",1,392,20459841.0,0
"Armstrong, Medhurst and Bogisich Pharmacy",1,385,12992274.0,0
Balistreri Group Pharm,1,395,18120449.0,0
Balistreri Group Pharmaceutical Ltd,732,206,4643931.0,1
Balistreri Group Pharmacy,1,381,13660437.0,0
"Balistreri, Torp and Gulgowski ",1,412,28802458.0,0
"Balistreri, Torp and Gulgowski Pharmacy",732,212,2792805.0,1
Balistreri-Watsica Pharma Plc,1,392,18531755.0,0
Balistreri-Watsica Pharmacy,732,239,6114088.0,1
Barrows Inc ,732,182,3190339.0,1
Barrows Inc Pharmaceutical Limited,1,372,18879087.0,0
Barrows Inc Pharmacy,1,360,26895847.0,0
"Barrows, Zboncak and Reichert Pharm",1,405,34539524.0,0
"Barrows, Zboncak and Reichert Pharma Plc",1,401,11129458.0,0
Barrows-Kohler Pharm,1,430,17624215.0,0
Barrows-Kohler Pharma Plc,1,397,24862159.0,0
Bartoletti-Altenwerth ,732,185,1993484.0,1
Bartoletti-Altenwerth Pharm,1,352,13173562.0,0
Barton Ltd Pharm,1,405,26870627.0,0
Barton Ltd Pharma Plc,732,191,2789921.0,1
Barton Ltd Pharmaceutical Limited,1,365,19688697.0,0
Bashirian Group ,1,359,12813673.0,0
Bashirian Group Pharmacy,1,365,18573169.0,0
Bashirian-Kassulke Pharma Plc,732,214,1997481.0,1
Bashirian-Kassulke Pharmacy,1,384,20508727.0,0
Bayer LLC ,1,417,34834444.0,0
Bayer LLC Pharm,1,381,12960048.0,0
Bayer LLC Pharmaceutical Ltd,732,205,2324731.0,1
"Beahan, Littel and Ondricka ",1,362,15585678.0,0
"Beahan, Littel and Ondricka Pharma Plc",1,373,17506161.0,0
"Beahan, Littel and Ondricka Pharmacy",732,199,2399758.0,1
"Beer, Kohler and Beatty ",1,389,27426626.0,0
"Beer, Kohler and Beatty Pharmaceutical Ltd",732,216,2959937.0,1
"Beer, Kohler and Beatty Pharmacy",1,387,20164440.0,0
Beier PLC ,1,405,13148370.25753,0
Beier PLC Pharm,1,426,25378116.40704,0
Beier PLC Pharma Plc,1,380,22310763.0,0
Beier PLC Pharmacy,732,202,3264824.0,1
"Bernier, Murphy and Rau Pharma Plc",1,368,14620034.0,0
"Bernier, Murphy and Rau Pharmaceutical Limited",1,392,25860721.0,0
"Bernier, Murphy and Rau Pharmaceutical Ltd",732,164,4338922.0,1
"Blanda, Stehr and Gleason Pharma Plc",1,389,17899263.0,0
"Blanda, Stehr and Gleason Pharmaceutical Ltd",1,361,15502581.0,0
"Blick, Pacocha and Schowalter ",732,225,4866124.0,1
